customer_id,customer_name,email,registration_date,customer_type
CUST_0058,Richard Norris,pattonkerri@example.com,2026-04-25,PREMIUM
CUST_0059,Alejandro Sanchez,woodnicolas@example.net,2025-03-09,PREMIUM
CUST_0060,Paul Keller,russelllaurie@example.net,2026-03-25,PREMIUM
CUST_0061,Megan Cook,mitchellkimberly@example.org,2026-05-03,VIP
CUST_0062,Becky Wong,franciscostephenson@example.net,2025-09-27,REGULAR
CUST_0063,Michael Larsen,jeanette20@example.com,2024-10-13,REGULAR
CUST_0064,Timothy Hodges,smalltimothy@example.net,2026-01-26,VIP
CUST_0065,Robin Smith,mitchelljessica@example.org,2026-05-20,VIP
CUST_0066,John Stein,awarren@example.net,2024-12-04,PREMIUM
CUST_0067,Dorothy Baker,gabriel86@example.org,2025-12-03,PREMIUM
CUST_0068,Kenneth Massey,nwrightexample.org,2025-02-23,VIP
CUST_0069,Alexander Lane,fsims@example.net,2026-01-15,PREMIUM
CUST_0070,Corey Hogan,knappwilliam@example.net,2024-09-08,REGULAR
CUST_0071,Sharon Thompson,david19@example.org,2025-07-25,REGULAR
CUST_0072,William Anderson,qcopeland@example.com,2025-02-25,PREMIUM
CUST_0073,Rachel Jones,rayseth@example.org,2026-06-14,VIP
CUST_0074,Albert Price,lawrence70@example.net,2024-09-05,REGULAR
CUST_0075,Joseph Hughes,bradcrane@example.com,2025-01-29,REGULAR
CUST_0076,Joseph Hines,jacqueline51@example.com,2025-11-11,VIP
CUST_0077,John Terry,linda30@example.org,2025-06-09,VIP
CUST_0078,Emily Hernandez,parkerzachary@example.net,2025-01-05,REGULAR
CUST_0079,Kyle Obrien,phayes@example.com,2024-09-02,PREMIUM
CUST_0080,Daniel Bradley,matthewjoseph@example.org,2025-11-19,PREMIUM
CUST_0081,Jonathan Sullivan,georgerandy@example.com,2025-09-29,REGULAR
CUST_0082,Amanda Garrett,catherine55@example.org,2025-09-03,REGULAR
CUST_0083,Sherry Mendoza,imcknight@example.org,2024-08-11,PREMIUM
CUST_0084,Craig Thompson,kayla57@example.com,2024-11-13,VIP
CUST_0085,Kimberly Castro,riceseth@example.com,2026-01-09,REGULAR
CUST_0086,Joseph Hernandez,albert22@example.com,2026-02-22,VIP
CUST_0087,Rachel Martinez,lperkins@example.com,2025-01-22,VIP
CUST_0088,Megan Moss,tmaynard@example.org,2025-12-02,PREMIUM
CUST_0089,Angela Smith,allengary@example.org,2025-12-28,VIP
CUST_0090,Tiffany Martinez,garrettmargaret@example.net,2024-08-09,VIP
CUST_0091,Kayla Oconnor,craigbaker@example.org,2025-04-12,PREMIUM
CUST_0092,Leslie White,millerronald@example.net,2025-10-03,VIP
CUST_0093,Angela Martin,yolandasmith@example.com,2025-12-24,PREMIUM
CUST_0094,Melissa Hernandez,olivingston@example.org,2026-07-22,PREMIUM
CUST_0095,Justin Garcia,swebb@example.org,2025-05-12,REGULAR
CUST_0096,Victoria Mcmillan,jessicafarmer@example.net,2025-12-31,REGULAR
CUST_0097,Ashley Burton,sheila32@example.org,2025-02-24,REGULAR
CUST_0098,Joel Wheeler,rodriguezgary@example.com,2025-07-17,REGULAR
CUST_0099,Brandon Cisneros,dylanodonnell@example.org,2025-04-26,VIP
CUST_0100,Lisa Chavez,brittanyhodge@example.net,2026-04-27,REGULAR
CUST_0101,Christopher Lewis,zjohnson@example.org,2025-04-11,PREMIUM
CUST_0102,Jennifer Bailey,joseph65@example.net,2026-03-05,REGULAR
CUST_0103,Jonathan Morris,shawemily@example.net,2025-06-13,PREMIUM
CUST_0104,Amy Tapia,ecisneros@example.org,2024-10-26,REGULAR
CUST_0105,Michelle Wells,mackenziewarren@example.net,2025-08-08,VIP
CUST_0106,Heather White,anthony37@example.com,2026-06-30,REGULAR
CUST_0107,Robert Fitzgerald,marshvanessa@example.net,2025-07-07,PREMIUM
CUST_0108,Sandra Nunez,jennifer05@example.org,2025-12-11,REGULAR
CUST_0109,Grace Washington,lorettagonzales@example.com,2025-06-13,PREMIUM
CUST_0110,Tanya Kaiser,xarnold@example.org,2024-12-26,PREMIUM
CUST_0111,Sarah Henderson,kbrown@example.com,2025-11-27,REGULAR
CUST_0112,Brian Williams,iduran@example.com,2024-12-25,VIP
CUST_0113,Catherine Roy,parkerrichard@example.org,2024-08-10,PREMIUM
CUST_0114,Susan Riley,wintersemily@example.com,2025-01-16,REGULAR
CUST_0115,Lauren Dyer,richard64@example.com,2024-11-11,REGULAR
CUST_0116,Shari Gray,william86@example.org,2024-11-04,REGULAR
CUST_0117,Brooke Richardson,sbailey@example.org,2025-02-13,PREMIUM
CUST_0118,Sandra Bailey,barry86@example.com,2026-07-08,REGULAR
CUST_0119,Philip Tran,tracymurray@example.net,2026-03-24,VIP
CUST_0120,Emily King,jennifernewton@example.net,2024-09-17,VIP
CUST_0121,Marvin Bright,devin27@example.net,2025-11-15,REGULAR
CUST_0122,Craig Kelly,jonesmichelle@example.org,2025-08-14,REGULAR
CUST_0123,Amber Hunter,edwardssusan@example.com,2024-08-22,PREMIUM
CUST_0124,Steven Lin,debra12@example.com,2025-01-18,PREMIUM
CUST_0125,Brittany Austin,cnichols@example.org,2025-04-02,REGULAR
CUST_0126,Terri Medina,waltonhunter@example.org,2025-10-17,PREMIUM
CUST_0127,Jill Marshall,wilsontonya@example.org,2025-09-24,PREMIUM
CUST_0128,William Carter,ryanturner@example.net,2024-10-15,VIP
CUST_0129,Rebecca Burns,claudia92@example.com,2025-01-03,VIP
CUST_0130,Joseph Torres,austin23@example.com,2025-06-06,PREMIUM
CUST_0131,Wanda Salas DDS,estradadaisy@example.org,2026-06-10,PREMIUM
CUST_0132,Sara Benson,lrivera@example.com,2025-01-22,REGULAR
CUST_0133,Nicholas Dawson,regina17@example.net,2024-09-10,VIP
CUST_0134,Angela Logan,vscott@example.com,2025-05-21,PREMIUM
CUST_0135,Renee Lewis,deandeanna@example.net,2025-07-10,VIP
CUST_0136,Jim Crawford,tschwartz@example.net,2025-09-29,VIP
CUST_0137,Meagan Fisher,hamiltonjoe@example.net,2025-11-21,VIP
CUST_0138,Shelley Marshall,leejessica@example.net,2024-09-03,REGULAR
CUST_0139,Cheryl Cruz,amymarquez@example.org,2025-02-26,REGULAR
CUST_0140,Megan Buchanan,kendraburke@example.org,2025-01-10,REGULAR
CUST_0141,Debbie Long,martha33@example.com,2025-12-05,VIP
CUST_0142,Gregory Ali,jeffery62@example.com,2024-08-18,VIP
CUST_0143,Sheila Kennedy,wisekaren@example.net,2025-02-24,REGULAR
CUST_0144,Oscar Simmons,michaelwhite@example.net,2026-08-03,VIP
CUST_0145,Michael Johnson,richardfrey@example.net,2024-10-28,PREMIUM
CUST_0146,Kimberly Hill,deborahdudley@example.com,2025-06-11,REGULAR
CUST_0147,Jessica Jefferson,dgeorge@example.net,2025-01-29,PREMIUM
CUST_0148,Nicole Knight,daviscynthia@example.com,2025-10-30,PREMIUM
CUST_0149,Donald Brown,dwebster@example.org,2025-12-15,VIP
CUST_0150,Larry Ramsey,christopher07@example.com,2025-10-26,PREMIUM
CUST_0151,Dana Sherman,pjohns@example.net,2025-06-08,REGULAR
CUST_0152,Kimberly Potts,lchapmanexample.net,2026-07-11,VIP
CUST_0153,Holly Velasquez,joshuahogan@example.net,2026-02-13,REGULAR
CUST_0154,Robert Peterson,perrymary@example.net,2024-08-16,REGULAR
CUST_0155,Robert Martin,dianasosa@example.com,2026-01-22,REGULAR
CUST_0156,Casey Branch,staceymaldonado@example.net,2024-10-08,REGULAR
CUST_0157,Lucas Newton,pbell@example.net,2024-12-29,PREMIUM
CUST_0158,Meagan Evans,regina06@example.com,2026-08-04,PREMIUM
CUST_0159,Denise Stewart,hallen@example.com,2025-09-08,VIP
CUST_0160,Amanda Choi,hbailey@example.net,2025-07-13,VIP
CUST_0161,Tina Jackson,jonathan56@example.net,2026-02-11,VIP
CUST_0162,Edward Flores,jefferygomez@example.org,2026-04-03,PREMIUM
CUST_0163,Shannon Walker,lgill@example.net,2025-08-24,REGULAR
CUST_0164,Gregory Harris,rallen@example.org,2025-08-27,REGULAR
CUST_0165,David Roberts,benjaminturner@example.org,2024-11-19,REGULAR
CUST_0166,Craig Swanson,benjaminmcdonald@example.org,2026-04-01,REGULAR
CUST_0167,Christopher Montgomery,shiggins@example.net,2025-06-22,VIP
CUST_0168,Diana Baker,ukelley@example.org,2025-08-08,PREMIUM
CUST_0169,John Thompson,alexislopez@example.org,2025-02-01,VIP
CUST_0170,Frank Henry,thomaslisa@example.com,2025-08-23,VIP
CUST_0171,Lindsey Carey DDS,javiertorres@example.net,2026-08-03,REGULAR
CUST_0172,Kimberly Martinez,terrancefields@example.com,2026-06-06,PREMIUM
CUST_0173,Leslie Stone,freed@example.net,2025-06-08,REGULAR
CUST_0174,Matthew Ellis,maurice28example.com,2026-05-21,REGULAR
CUST_0175,Cassidy Vega,jeff83@example.net,2026-03-28,PREMIUM
CUST_0176,Joseph Hall,pattersondaniel@example.net,2025-03-06,PREMIUM
CUST_0177,James Jackson,elizabeth20@example.com,2025-11-11,PREMIUM
CUST_0178,Eric Shepherd,tammyandrews@example.com,2024-11-08,REGULAR
CUST_0179,Travis Silva,masondana@example.com,2026-02-17,VIP
CUST_0180,Daniel Horton,smithedward@example.com,2025-10-12,VIP
CUST_0181,Billy Mills,qball@example.com,2026-05-14,PREMIUM
CUST_0182,Ann James,hubbardsandra@example.net,2025-11-03,REGULAR
CUST_0183,Lisa Jackson,taylorswanson@example.net,2024-09-14,REGULAR
CUST_0184,Robin Jones,lauramorgan@example.net,2026-01-31,REGULAR
CUST_0185,Richard Hill,annasharp@example.com,2025-05-21,REGULAR
CUST_0186,Elizabeth Howard,ashley58@example.net,2025-02-02,VIP
CUST_0187,Megan Dunn,goldendouglas@example.org,2025-03-08,VIP
CUST_0188,Melissa Greer,palmergregory@example.net,2025-09-24,PREMIUM
CUST_0189,Matthew Johnson,kalexander@example.org,2024-11-11,VIP
CUST_0190,Jasmine Anderson,tiffany13@example.net,2025-07-01,REGULAR
CUST_0191,Jennifer Cochran,matthewmills@example.net,2026-06-28,REGULAR
CUST_0192,Loretta Miller,murphykatherine@example.com,2025-07-11,REGULAR
CUST_0193,Kathryn Ruiz,uflores@example.org,2025-03-28,PREMIUM
CUST_0194,Stephen Chavez,mchavez@example.org,2025-04-08,PREMIUM
CUST_0195,Susan Compton,cooperlawrence@example.net,2024-10-31,VIP
CUST_0196,Bryan Wood,huntphillip@example.net,2026-02-01,PREMIUM
CUST_0197,Kim Barker,michaelbailey@example.net,2024-11-26,VIP
CUST_0198,Tammy Estrada,michaelthomas@example.net,2026-02-07,REGULAR
CUST_0199,Karen Robertson,stephenjames@example.org,2026-01-25,REGULAR
CUST_0200,Charlene Leonard,mscott@example.com,2025-03-09,PREMIUM
